setup_id,trigger_date,target_ticker,horizon_days,entry_direction,underlying_entry_px,Underlying_Exit_Price,Return_Underlying,ivol_at_entry,pnl_per_share,option_type,strike_price,entry_premium,exit_value,pnl_dollars,skipped_reason
S0003,2021-12-06,XLF US Equity,3,short,38.61,39.01,0.010360010360010323,30.642,-0.42888653952158806,put,38.61,0.42888653952158806,0.0,-42.888653952158805,None
S0003,2021-12-07,XLF US Equity,3,short,39.3,39.05,-0.0063613231552162855,21.444,-0.0555088921246481,put,39.3,0.3055088921246481,0.25,-5.55088921246481,None
S0003,2021-12-08,XLF US Equity,3,short,39.09,39.05,-0.0010232796111539076,21.091,-0.2588741462254418,put,39.09,0.29887414622544806,0.04000000000000625,-25.88741462254418,None
S0003,2021-12-09,XLF US Equity,3,short,39.01,38.63,-0.009741092027685094,21.218,0.07994152218991674,put,39.01,0.3000584778100787,0.37999999999999545,7.994152218991673,None
S0003,2025-02-21,XLF US Equity,3,short,50.75,50.97,0.004334975369458106,17.019,-0.31310902891366893,put,50.75,0.31310902891366893,0.0,-31.310902891366894,None
S0003,2025-02-25,XLF US Equity,3,short,50.96,52.18,0.023940345368916774,17.593,-0.3250085816504243,put,50.96,0.3250085816504243,0.0,-32.50085816504243,None
S0003,2021-03-09,XLF US Equity,10,short,33.83,34.22,0.01152822938220516,24.364,-0.5455260170402105,put,33.83,0.5455260170402105,0.0,-54.55260170402105,None
S0003,2021-03-10,XLF US Equity,10,short,34.52,34.22,-0.008690614136732451,24.024,-0.24888452323724197,put,34.52,0.5488845232372462,0.30000000000000426,-24.8884523237242,None
S0003,2021-03-11,XLF US Equity,10,short,34.42,33.63,-0.022951772225450293,24.433,0.23338803210318115,put,34.42,0.556611967896818,0.7899999999999991,23.338803210318115,None
S0003,2021-03-12,XLF US Equity,10,short,34.77,33.63,-0.032786885245901655,24.65,0.5727343407625108,put,34.77,0.5672656592374897,1.1400000000000006,57.273434076251085,None
S0003,2021-12-03,XLF US Equity,10,short,38.03,38.63,0.015777018143570902,31.238,-0.7862749234684543,put,38.03,0.7862749234684543,0.0,-78.62749234684543,None
S0003,2021-12-06,XLF US Equity,10,short,38.61,39.46,0.02201502201502205,30.642,-0.7830361076876824,put,38.61,0.7830361076876824,0.0,-78.30361076876824,None
